Id,Name
a0S6F00000o1Hg1UAE,Stocker 015
a0S6F00000o1Hg2UAE,Stocker 018
a0S6F00000o1Hg6UAE,Stocker 016
a0S6F00000o1HgBUAU,Stocker 017
a0S6F00000ltwNxUAI,Stocker 001
a0S6F00000ltwO2UAI,Stocker 002
a0S6F00000ntnSwUAI,加工場(肉) 冷凍 402
a0S6F00000o1HejUAE,Stocker 003
a0S6F00000o1HeoUAE,Stocker 004
a0S6F00000o1HepUAE,Stocker 011
a0S6F00000o1HetUAE,Stocker 005
a0S6F00000o1HeuUAE,Stocker 006
a0S6F00000o1HeyUAE,Stocker 007
a0S6F00000o1Hf3UAE,Stocker 008
a0S6F00000o1Hf4UAE,Stocker 009
a0S6F00000o1Hf5UAE,Stocker 010
a0S6F00000o1HfNUAU,Stocker 012
a0S6F00000o1HfSUAU,Stocker 013
a0S6F00000o1HfcUAE,Stocker 014
a0S6F00000o1HgGUAU,Stocker 019
a0S6F00000o1HgHUAU,Stocker 020
a0S6F00000o1HgIUAU,Stocker 021
a0S6F00000o1HgfUAE,Stocker 022
a0S6F00000o1HguUAE,Stocker 023
a0S6F00000o1HgzUAE,Stocker 024
a0S6F00000o1Hh0UAE,Stocker 025
a0S6F00000o1Hh4UAE,Stocker 026
a0S6F00000o1HiaUAE,Stocker 027
a0S6F00000o1HifUAE,Stocker 028
a0S6F00000o1HipUAE,Stocker 029
a0S6F00000o1HizUAE,Stocker 030
a0S6F00000o1HjYUAU,Stocker 031
a0S6F00000o1HjZUAU,Stocker 032
a0S6F00000o1HjxUAE,Stocker 033
a0S6F00000o1Hk2UAE,Stocker 034
a0S6F00000o1Hk7UAE,Stocker 035
a0S6F00000o1HkHUAU,Stocker 036
a0S6F00000o1HkMUAU,Stocker 037
a0S6F00000o1HkNUAU,Stocker 038
a0S6F00000o1HkOUAU,Stocker 040
a0S6F00000o1HkPUAU,Stocker 042
a0S6F00000o1HkQUAU,Stocker 046
a0S6F00000o1HkRUAU,Stocker 039
a0S6F00000o1HkWUAU,Stocker 041
a0S6F00000o1HkXUAU,Stocker 043
a0S6F00000o1HkYUAU,Stocker 044
a0S6F00000o1HkZUAU,Stocker 047
a0S6F00000o1HklUAE,Stocker 045
a0S6F00000o1HkqUAE,Stocker 048
a0S6F00000o1HkrUAE,Stocker 049
a0S6F00000o1HksUAE,Stocker 050
a0S6F00000o1HkvUAE,Stocker 051
a0S6F00000o1HkwUAE,Stocker 058
a0S6F00000o1Hl0UAE,Stocker 052
a0S6F00000o1Hl5UAE,Stocker 053
a0S6F00000o1HlAUAU,Stocker 054
a0S6F00000o1HlKUAU,Stocker 055
a0S6F00000o1HlLUAU,Stocker 057
a0S6F00000o1HlMUAU,Stocker 059
a0S6F00000o1HlPUAU,Stocker 056
a0S6F00000o1HmTUAU,Stocker 060
a0S6F00000o1HmUUAU,Stocker 067
a0S6F00000o1HmYUAU,Stocker 061
a0S6F00000o1HmZUAU,Stocker 068
a0S6F00000o1HmiUAE,Stocker 062
a0S6F00000o1HmsUAE,Stocker 063
a0S6F00000o1HmxUAE,Stocker 064
a0S6F00000o1Hn7UAE,Stocker 065
a0S6F00000o1Hn8UAE,Stocker 066
a0S6F00000o1HnHUAU,Stocker 069
a0S6F00000o1HnMUAU,Stocker 070
a0S6F00000o1HnWUAU,Stocker 071
a0S6F00000o1HnbUAE,Stocker 072
a0S6F00000o1HoAUAU,Stocker 073
a0S6F00000o1HoFUAU,Stocker 074
a0S6F00000o1HoKUAU,Stocker 075
a0S6F00000o1HoLUAU,Stocker 081
a0S6F00000o1HoMUAU,Stocker 087
a0S6F00000o1HoNUAU,Stocker 092
a0S6F00000o1HoPUAU,Stocker 076
a0S6F00000o1HoQUAU,Stocker 079
a0S6F00000o1HoUUAU,Stocker 077
a0S6F00000o1HoVUAU,Stocker 080
a0S6F00000o1HoWUAU,Stocker 082
a0S6F00000o1HoXUAU,Stocker 084
a0S6F00000o1HoYUAU,Stocker 085
a0S6F00000o1HoZUAU,Stocker 078
a0S6F00000o1HojUAE,Stocker 083
a0S6F00000o1HokUAE,Stocker 091
a0S6F00000o1HoyUAE,Stocker 086
a0S6F00000o1Hp3UAE,Stocker 088
a0S6F00000o1Hp8UAE,Stocker 089
a0S6F00000o1HpJUAU,Stocker 090
a0S6F00000o1HpTUAU,Stocker 093
a0S6F00000o1HqMUAU,サーモン 303
a0S6F00000o1HqWUAU,生海胆 404
a0S6F00000o1Hr0UAE,Jvini ワイン 501
a0S6F00000o1HrPUAU,空港(社外) 601
a0S6F00000o1OXUUA2,Stocker 094 (ClubTei用 縦型)
a0S6F00000o1OYcUAM,加工場(野菜) 401
a0S6F00000o1OYhUAM,加工場(肉) 冷蔵 403
a0S6F00000o1RD7UAM,Jvini その他 502
a0S6F00000pT9GAUA0,香港在庫 1000
a0S6F00000rLKrmUAG,南極 302
a0S6F00000rLKrrUAG,北極 301
a0S6F00000rLbsUUAS,外部倉庫 802
a0S6F00000rMc7wUAC,DRY 倉庫 503
a0S6F00000rpEvGUAU,外部倉庫 SF-Express 803
a0S6F00000rpEvQUAU,外部倉庫 明正 Meisei 沙田 804
a0S6F00000rpEvVUAU,外部倉庫 YAMATO 804 805
a0S6F00000sn7KJUAY,横須賀冷蔵 901
a0S6F00000st6ReUAI,加工場 A
a0S6F00000su7grUAA,資材置き場 資材
a0S6F00000vlh3tUAA,Stocker 000
